2026-05-31 15:16:19.192935 | light | rule_router | {'agent': 'home', 'score': 1, 'confidence': 0.7}
2026-05-31 18:17:41.693219 | light | rule_router | {'agent': 'home', 'score': 1, 'confidence': 0.7}
2026-05-31 18:17:50.044488 | light | reflection_agent | {'valid': True, 'suggested_agent': 'home', 'confidence': 1.0}
2026-05-31 18:17:59.029364 | need physician | rule_router | {'agent': None, 'score': 0, 'confidence': 0.0}
2026-05-31 18:17:59.080079 | need physician | embedding_router | {'agent': 'doctor', 'confidence': 0.448, 'scores': {'home': 0.031, 'office': 0.047, 'doctor': 0.448, 'travel': 0.091}}
2026-05-31 18:18:01.292368 | need physician | reflection_agent | {'valid': True, 'suggested_agent': 'doctor', 'confidence': 1.0}
2026-05-31 18:18:09.427515 | capital of india | rule_router | {'agent': None, 'score': 0, 'confidence': 0.0}
2026-05-31 18:18:09.453628 | capital of india | embedding_router | {'agent': 'travel', 'confidence': 0.183, 'scores': {'home': 0.024, 'office': 0.054, 'doctor': 0.022, 'travel': 0.183}}
2026-05-31 18:18:11.430971 | capital of india | llm_router | {'agent': 'general', 'confidence': 1.0}
2026-05-31 18:18:13.409732 | capital of india | reflection_agent | {'valid': True, 'suggested_agent': 'general', 'confidence': 1.0}
2026-05-31 18:18:18.791411 | flight to delhi | rule_router | {'agent': 'travel', 'score': 1, 'confidence': 0.7}
2026-05-31 18:18:21.002018 | flight to delhi | reflection_agent | {'valid': True, 'suggested_agent': 'travel', 'confidence': 1.0}
2026-05-31 18:48:11.864421 | need physician | rule_router | {'agent': None, 'score': 0, 'confidence': 0.0}
2026-05-31 18:48:11.876492 | need physician | embedding_router | {'agent': 'doctor', 'confidence': 0.448, 'scores': {'home': 0.031, 'office': 0.047, 'doctor': 0.448, 'travel': 0.091}}
2026-05-31 18:48:21.000689 | need physician | reflection_agent | {'valid': True, 'suggested_agent': 'doctor', 'confidence': 1.0}
2026-05-31 18:48:23.246729 | reserve accommodation | rule_router | {'agent': None, 'score': 0, 'confidence': 0.0}
2026-05-31 18:48:23.261783 | reserve accommodation | embedding_router | {'agent': 'travel', 'confidence': 0.306, 'scores': {'home': -0.023, 'office': 0.096, 'doctor': 0.068, 'travel': 0.306}}
2026-05-31 18:48:25.584142 | reserve accommodation | reflection_agent | {'valid': True, 'suggested_agent': 'travel', 'confidence': 1.0}
2026-05-31 18:48:33.385723 | capital of india | rule_router | {'agent': None, 'score': 0, 'confidence': 0.0}
2026-05-31 18:48:33.421505 | capital of india | embedding_router | {'agent': 'travel', 'confidence': 0.183, 'scores': {'home': 0.024, 'office': 0.054, 'doctor': 0.022, 'travel': 0.183}}
2026-05-31 18:48:35.324532 | capital of india | llm_router | {'agent': 'general', 'confidence': 0.8}
2026-05-31 18:48:37.269153 | capital of india | reflection_agent | {'valid': True, 'suggested_agent': 'general', 'confidence': 1.0}
2026-05-31 18:57:36.681194 | physician | rule_router | {'agent': 'doctor', 'score': 1, 'confidence': 0.7}
2026-05-31 18:57:45.177352 | physician | reflection_agent | {'valid': True, 'suggested_agent': 'doctor', 'confidence': 1.0}
2026-05-31 21:37:08.401706 | flight to delhi | rule_router | {'agent': 'travel', 'score': 1, 'confidence': 0.7}
2026-05-31 21:37:22.021628 | flight to delhi | reflection_agent | {'valid': True, 'suggested_agent': 'travel', 'confidence': 1.0}
2026-05-31 21:53:10.384460 | flight to delhi | rule_router | {'agent': 'travel', 'score': 2, 'confidence': 0.8}
2026-05-31 21:53:18.839998 | flight to delhi | reflection_agent | {'valid': True, 'suggested_agent': 'travel', 'confidence': 1.0}
2026-05-31 21:53:57.978646 | book hotel | rule_router | {'agent': 'travel', 'score': 1, 'confidence': 0.7}
2026-05-31 21:54:00.133213 | book hotel | reflection_agent | {'valid': True, 'suggested_agent': 'travel', 'confidence': 1.0}
2026-05-31 21:54:14.931746 | weather in delhi | rule_router | {'agent': 'travel', 'score': 1, 'confidence': 0.7}
2026-05-31 21:54:17.094823 | weather in delhi | reflection_agent | {'valid': True, 'suggested_agent': 'travel', 'confidence': 1.0}
2026-05-31 22:04:30.620080 | book accommodation | rule_router | {'agent': 'travel', 'score': 2, 'confidence': 0.8}
2026-05-31 22:04:41.310842 | book accommodation | reflection_agent | {'valid': True, 'suggested_agent': 'travel', 'confidence': 1.0}
2026-05-31 22:13:25.035334 | book accommodation | rule_router | {'agent': 'travel', 'score': 2, 'confidence': 0.8}
2026-05-31 22:13:33.671171 | book accommodation | reflection_agent | {'valid': True, 'suggested_agent': 'travel', 'confidence': 1.0}
2026-05-31 22:31:58.071181 | flight to delhi | rule_router | {'agent': 'travel', 'score': 2, 'confidence': 0.8}
2026-05-31 22:32:06.550428 | flight to delhi | reflection_agent | {'valid': True, 'suggested_agent': 'travel', 'confidence': 1.0}
2026-05-31 22:32:42.056191 | plan my trip to delhi | rule_router | {'agent': 'travel', 'score': 1, 'confidence': 0.7}
2026-05-31 22:32:44.208733 | plan my trip to delhi | reflection_agent | {'valid': True, 'suggested_agent': 'travel', 'confidence': 1.0}
2026-05-31 22:41:13.804463 | plan my trip to delhi | rule_router | {'agent': 'travel', 'score': 3, 'confidence': 0.95}
2026-05-31 22:41:22.537311 | plan my trip to delhi | reflection_agent | {'valid': True, 'suggested_agent': 'travel', 'confidence': 1.0}
2026-05-31 22:57:26.269670 | plan my trip to delhi | rule_router | {'agent': 'travel', 'score': 3, 'confidence': 0.95}
2026-05-31 22:57:35.079917 | plan my trip to delhi | reflection_agent | {'valid': True, 'suggested_agent': 'travel', 'confidence': 1.0}
2026-05-31 23:08:16.443567 | Plan my business trip to Delhi | rule_router | {'agent': 'travel', 'score': 3, 'confidence': 0.95}
2026-05-31 23:08:25.517364 | Plan my business trip to Delhi | reflection_agent | {'valid': True, 'suggested_agent': 'travel', 'confidence': 1.0}
2026-05-31 23:12:50.097306 | Plan my business trip to Delhi | rule_router | {'agent': 'travel', 'score': 4, 'confidence': 0.95}
2026-05-31 23:12:52.381553 | Plan my business trip to Delhi | reflection_agent | {'valid': True, 'suggested_agent': 'travel', 'confidence': 1.0}
2026-06-01 10:41:27.684503 | I prefer Vistara | rule_router | {'agent': None, 'score': 0, 'confidence': 0.0}
2026-06-01 10:41:27.767614 | I prefer Vistara | embedding_router | {'agent': 'travel', 'confidence': 0.08, 'scores': {'home': 0.02, 'office': 0.069, 'doctor': 0.018, 'travel': 0.08}}
2026-06-01 10:41:39.142182 | I prefer Vistara | llm_router | {'agent': 'travel', 'confidence': 1.0}
2026-06-01 10:41:42.488232 | I prefer Vistara | reflection_agent | {'valid': True, 'suggested_agent': 'travel', 'confidence': 1.0}
2026-06-01 10:50:04.715647 | I prefer Vistara | rule_router | {'agent': 'travel', 'score': 2, 'confidence': 0.8}
2026-06-01 10:50:13.280780 | I prefer Vistara | reflection_agent | {'valid': True, 'suggested_agent': 'travel', 'confidence': 1.0}
2026-06-01 10:55:17.562516 | I prefer Vistara | rule_router | {'agent': 'travel', 'score': 2, 'confidence': 0.8}
2026-06-01 10:55:25.916740 | I prefer Vistara | reflection_agent | {'valid': True, 'suggested_agent': 'travel', 'confidence': 1.0}
2026-06-01 12:13:24.452595 | I prefer Vistara | rule_router | {'agent': 'travel', 'score': 2, 'confidence': 0.8}
2026-06-01 12:13:32.937946 | I prefer Vistara | reflection_agent | {'valid': True, 'suggested_agent': 'travel', 'confidence': 1.0}
2026-06-01 12:14:01.166331 | dashboard | rule_router | {'agent': None, 'score': 0, 'confidence': 0.0}
2026-06-01 12:14:01.240625 | dashboard | embedding_router | {'agent': 'office', 'confidence': 0.171, 'scores': {'home': 0.163, 'office': 0.171, 'doctor': 0.093, 'travel': 0.115}}
2026-06-01 12:14:03.154697 | dashboard | llm_router | {'agent': 'general', 'confidence': 1.0}
2026-06-01 12:14:05.405883 | dashboard | reflection_agent | {'valid': True, 'suggested_agent': 'general', 'confidence': 1.0}
2026-06-01 12:41:16.975911 | I prefer Vistara | rule_router | {'agent': 'travel', 'score': 2, 'confidence': 0.8}
2026-06-01 12:41:25.999052 | I prefer Vistara | reflection_agent | {'valid': True, 'suggested_agent': 'travel', 'confidence': 1.0}
2026-06-01 14:35:49.129983 | I prefer Emirates | rule_router | {'agent': 'travel', 'score': 1, 'confidence': 0.7}
2026-06-01 14:35:57.539643 | I prefer Emirates | reflection_agent | {'valid': True, 'suggested_agent': 'travel', 'confidence': 1.0}
2026-06-01 14:40:00.451502 | I prefer Vistara | rule_router | {'agent': 'travel', 'score': 2, 'confidence': 0.8}
2026-06-01 14:40:02.692322 | I prefer Vistara | reflection_agent | {'valid': True, 'suggested_agent': 'travel', 'confidence': 1.0}
2026-06-01 14:40:11.478496 | I prefer Emirates | rule_router | {'agent': 'travel', 'score': 2, 'confidence': 0.8}
2026-06-01 14:40:13.643068 | I prefer Emirates | reflection_agent | {'valid': True, 'suggested_agent': 'travel', 'confidence': 1.0}
2026-06-01 14:40:21.425086 | I prefer Window Seat | rule_router | {'agent': 'travel', 'score': 1, 'confidence': 0.7}
2026-06-01 14:40:23.642087 | I prefer Window Seat | reflection_agent | {'valid': False, 'suggested_agent': 'doctor', 'confidence': 0.95}
2026-06-01 14:40:30.254975 | I prefer Taj Hotel | rule_router | {'agent': 'travel', 'score': 2, 'confidence': 0.8}
2026-06-01 14:40:32.454165 | I prefer Taj Hotel | reflection_agent | {'valid': True, 'suggested_agent': 'travel', 'confidence': 1.0}
2026-06-01 14:42:15.327880 | I prefer Emirates | rule_router | {'agent': 'travel', 'score': 2, 'confidence': 0.8}
2026-06-01 14:42:17.485651 | I prefer Emirates | reflection_agent | {'valid': True, 'suggested_agent': 'travel', 'confidence': 1.0}
2026-06-01 14:59:50.644212 | Book flight Kolkata to Delhi | rule_router | {'agent': 'travel', 'score': 3, 'confidence': 0.95}
2026-06-01 14:59:59.073857 | Book flight Kolkata to Delhi | reflection_agent | {'valid': True, 'suggested_agent': 'travel', 'confidence': 1.0}
2026-06-01 15:07:45.540424 | Book flight Kolkata to Delhi | rule_router | {'agent': 'travel', 'score': 4, 'confidence': 0.95}
2026-06-01 15:07:54.233350 | Book flight Kolkata to Delhi | reflection_agent | {'valid': True, 'suggested_agent': 'travel', 'confidence': 1.0}
2026-06-01 15:14:09.598281 | Book flight Kolkata to Delhi | rule_router | {'agent': 'travel', 'score': 4, 'confidence': 0.95}
2026-06-01 15:14:18.002471 | Book flight Kolkata to Delhi | reflection_agent | {'valid': True, 'suggested_agent': 'travel', 'confidence': 1.0}
2026-06-01 15:18:25.331627 | Book flight Kolkata to Delhi | rule_router | {'agent': 'travel', 'score': 4, 'confidence': 0.95}
2026-06-01 15:18:27.637117 | Book flight Kolkata to Delhi | reflection_agent | {'valid': True, 'suggested_agent': 'travel', 'confidence': 1.0}
2026-06-01 15:21:34.237176 | I need some assistance tomorrow | rule_router | {'agent': None, 'score': 0, 'confidence': 0.0}
2026-06-01 15:21:34.303991 | I need some assistance tomorrow | embedding_router | {'agent': 'doctor', 'confidence': 0.227, 'scores': {'home': 0.159, 'office': 0.205, 'doctor': 0.227, 'travel': 0.188}}
2026-06-01 15:21:34.303991 | I need some assistance tomorrow | voting_router | {'selected_agent': 'general', 'confidence': 0.588, 'validated': True, 'votes': [ProviderVote(provider='openai', agent='general', confidence=0.6, reason='fallback'), ProviderVote(provider='gemini', agent='general', confidence=0.6, reason='fallback'), ProviderVote(provider='groq', agent='general', confidence=0.6, reason='fallback'), ProviderVote(provider='ollama', agent='general', confidence=0.55, reason='fallback')], 'metrics': {'provider_usage': {'openai': 1, 'gemini': 1, 'groq': 1, 'ollama': 1}, 'provider_wins': {}}}
2026-06-01 15:21:45.849003 | Can you help me organize something? | rule_router | {'agent': None, 'score': 0, 'confidence': 0.0}
2026-06-01 15:21:45.877911 | Can you help me organize something? | embedding_router | {'agent': 'office', 'confidence': 0.287, 'scores': {'home': 0.181, 'office': 0.287, 'doctor': 0.092, 'travel': 0.228}}
2026-06-01 15:21:45.877911 | Can you help me organize something? | voting_router | {'selected_agent': 'general', 'confidence': 0.588, 'validated': True, 'votes': [ProviderVote(provider='openai', agent='general', confidence=0.6, reason='fallback'), ProviderVote(provider='gemini', agent='general', confidence=0.6, reason='fallback'), ProviderVote(provider='groq', agent='general', confidence=0.6, reason='fallback'), ProviderVote(provider='ollama', agent='general', confidence=0.55, reason='fallback')], 'metrics': {'provider_usage': {'openai': 2, 'gemini': 2, 'groq': 2, 'ollama': 2}, 'provider_wins': {}}}
2026-06-01 15:21:59.424544 | I want advice on a future plan | rule_router | {'agent': 'travel', 'score': 1, 'confidence': 0.7}
2026-06-01 15:22:01.579459 | I want advice on a future plan | reflection_agent | {'valid': True, 'suggested_agent': 'travel', 'confidence': 1.0}
2026-06-01 15:22:11.828773 | I have a situation and need guidance | rule_router | {'agent': None, 'score': 0, 'confidence': 0.0}
2026-06-01 15:22:11.859407 | I have a situation and need guidance | embedding_router | {'agent': 'doctor', 'confidence': 0.032, 'scores': {'home': 0.028, 'office': 0.023, 'doctor': 0.032, 'travel': 0.0}}
2026-06-01 15:22:11.859407 | I have a situation and need guidance | voting_router | {'selected_agent': 'general', 'confidence': 0.588, 'validated': True, 'votes': [ProviderVote(provider='openai', agent='general', confidence=0.6, reason='fallback'), ProviderVote(provider='gemini', agent='general', confidence=0.6, reason='fallback'), ProviderVote(provider='groq', agent='general', confidence=0.6, reason='fallback'), ProviderVote(provider='ollama', agent='general', confidence=0.55, reason='fallback')], 'metrics': {'provider_usage': {'openai': 3, 'gemini': 3, 'groq': 3, 'ollama': 3}, 'provider_wins': {}}}
2026-06-01 15:49:26.168919 | plan a trip to delhi | rule_router | {'agent': 'travel', 'score': 3, 'confidence': 0.95}
2026-06-01 15:49:34.767775 | plan a trip to delhi | reflection_agent | {'valid': True, 'suggested_agent': 'travel', 'confidence': 1.0}
2026-06-01 15:51:28.985475 | plan to trip delhi | rule_router | {'agent': 'travel', 'score': 3, 'confidence': 0.95}
2026-06-01 15:51:31.613612 | plan to trip delhi | reflection_agent | {'valid': True, 'suggested_agent': 'travel', 'confidence': 1.0}
2026-06-01 15:55:21.803797 | I need help tomorrow | rule_router | {'agent': None, 'score': 0, 'confidence': 0.0}
2026-06-01 15:55:21.858082 | I need help tomorrow | embedding_router | {'agent': 'travel', 'confidence': 0.229, 'scores': {'home': 0.146, 'office': 0.171, 'doctor': 0.216, 'travel': 0.229}}
2026-06-01 15:55:31.317657 | Can you organize something for me | rule_router | {'agent': None, 'score': 0, 'confidence': 0.0}
2026-06-01 15:55:31.330737 | Can you organize something for me | embedding_router | {'agent': 'office', 'confidence': 0.297, 'scores': {'home': 0.125, 'office': 0.297, 'doctor': 0.095, 'travel': 0.248}}
2026-06-01 15:55:39.199347 | What should I do next | rule_router | {'agent': None, 'score': 0, 'confidence': 0.0}
2026-06-01 15:55:39.224831 | What should I do next | embedding_router | {'agent': 'travel', 'confidence': 0.112, 'scores': {'home': 0.091, 'office': 0.046, 'doctor': 0.053, 'travel': 0.112}}
2026-06-01 15:58:59.907295 | I need help tomorrow | rule_router | {'agent': None, 'score': 0, 'confidence': 0.0}
2026-06-01 15:58:59.923961 | I need help tomorrow | embedding_router | {'agent': 'travel', 'confidence': 0.229, 'scores': {'home': 0.146, 'office': 0.171, 'doctor': 0.216, 'travel': 0.229}}
2026-06-01 15:58:59.924977 | I need help tomorrow | voting_router | {'selected_agent': 'general', 'confidence': 0.588, 'validated': True, 'votes': [ProviderVote(provider='openai', agent='general', confidence=0.6, reason='fallback'), ProviderVote(provider='gemini', agent='general', confidence=0.6, reason='fallback'), ProviderVote(provider='groq', agent='general', confidence=0.6, reason='fallback'), ProviderVote(provider='ollama', agent='general', confidence=0.55, reason='fallback')], 'metrics': {'provider_usage': {'openai': 1, 'gemini': 1, 'groq': 1, 'ollama': 1}, 'provider_wins': {}}}
2026-06-01 15:59:12.114732 | Can you organize something for me | rule_router | {'agent': None, 'score': 0, 'confidence': 0.0}
2026-06-01 15:59:12.131049 | Can you organize something for me | embedding_router | {'agent': 'office', 'confidence': 0.297, 'scores': {'home': 0.125, 'office': 0.297, 'doctor': 0.095, 'travel': 0.248}}
2026-06-01 15:59:12.133575 | Can you organize something for me | voting_router | {'selected_agent': 'general', 'confidence': 0.588, 'validated': True, 'votes': [ProviderVote(provider='openai', agent='general', confidence=0.6, reason='fallback'), ProviderVote(provider='gemini', agent='general', confidence=0.6, reason='fallback'), ProviderVote(provider='groq', agent='general', confidence=0.6, reason='fallback'), ProviderVote(provider='ollama', agent='general', confidence=0.55, reason='fallback')], 'metrics': {'provider_usage': {'openai': 2, 'gemini': 2, 'groq': 2, 'ollama': 2}, 'provider_wins': {}}}
2026-06-01 15:59:18.479793 | What should I do next | rule_router | {'agent': None, 'score': 0, 'confidence': 0.0}
2026-06-01 15:59:18.487447 | What should I do next | embedding_router | {'agent': 'travel', 'confidence': 0.112, 'scores': {'home': 0.091, 'office': 0.046, 'doctor': 0.053, 'travel': 0.112}}
2026-06-01 15:59:18.489453 | What should I do next | voting_router | {'selected_agent': 'general', 'confidence': 0.588, 'validated': True, 'votes': [ProviderVote(provider='openai', agent='general', confidence=0.6, reason='fallback'), ProviderVote(provider='gemini', agent='general', confidence=0.6, reason='fallback'), ProviderVote(provider='groq', agent='general', confidence=0.6, reason='fallback'), ProviderVote(provider='ollama', agent='general', confidence=0.55, reason='fallback')], 'metrics': {'provider_usage': {'openai': 3, 'gemini': 3, 'groq': 3, 'ollama': 3}, 'provider_wins': {}}}
2026-06-01 16:17:00.000985 | I need help tomorrow | rule_router | {'agent': None, 'score': 0, 'confidence': 0.0}
2026-06-01 16:17:00.008240 | I need help tomorrow | embedding_router | {'agent': 'travel', 'confidence': 0.229, 'scores': {'home': 0.146, 'office': 0.171, 'doctor': 0.216, 'travel': 0.229}}
2026-06-01 16:17:09.574658 | I need help tomorrow | voting_router | {'selected_agent': 'general', 'confidence': 0.6, 'validated': True, 'votes': [ProviderVote(provider='openai', agent='general', confidence=0.6, reason='fallback'), ProviderVote(provider='gemini', agent='general', confidence=0.6, reason='fallback'), ProviderVote(provider='groq', agent='general', confidence=0.6, reason='fallback'), ProviderVote(provider='ollama', agent='travel', confidence=0.85, reason="Travel-related assistance required due to urgency and use of the phrase 'tomorrow'")], 'metrics': {'provider_usage': {'openai': 1, 'gemini': 1, 'groq': 1, 'ollama': 1}, 'provider_wins': {}}}
2026-06-01 16:17:11.566824 | I need help tomorrow | reflection_agent | {'valid': False, 'suggested_agent': 'travel', 'confidence': 0.95}
2026-06-01 16:27:12.397451 | I need help tomorrow | rule_router | {'agent': 'travel', 'score': 1, 'confidence': 0.7}
2026-06-01 16:27:12.411287 | I need help tomorrow | embedding_router | {'agent': 'travel', 'confidence': 0.229, 'scores': {'home': 0.146, 'office': 0.171, 'doctor': 0.216, 'travel': 0.229}}
2026-06-01 16:27:21.841644 | I need help tomorrow | voting_router | {'selected_agent': 'general', 'confidence': 0.65, 'validated': True, 'votes': [ProviderVote(provider='openai', agent='general', confidence=0.6, reason='fallback'), ProviderVote(provider='gemini', agent='general', confidence=0.6, reason='fallback'), ProviderVote(provider='groq', agent='general', confidence=0.6, reason='fallback'), ProviderVote(provider='ollama', agent='general', confidence=0.8, reason='Unclear intent, but may require general assistance or a specific agent to be determined.')], 'metrics': {'provider_usage': {'openai': 1, 'gemini': 1, 'groq': 1, 'ollama': 1}, 'provider_wins': {}}}
2026-06-01 16:27:23.942736 | I need help tomorrow | reflection_agent | {'valid': True, 'suggested_agent': 'general', 'confidence': 1.0}
2026-06-01 16:39:04.143063 | I need help tomorrow | rule_router | {'agent': 'travel', 'score': 1, 'confidence': 0.7}
2026-06-01 16:39:04.151091 | I need help tomorrow | embedding_router | {'agent': 'travel', 'confidence': 0.229, 'scores': {'home': 0.146, 'office': 0.171, 'doctor': 0.216, 'travel': 0.229}}
2026-06-01 16:39:13.715615 | I need help tomorrow | voting_router | {'selected_agent': 'general', 'confidence': 0.6, 'validated': True, 'votes': [ProviderVote(provider='groq', agent='general', confidence=0.6, reason='fallback'), ProviderVote(provider='openai', agent='general', confidence=0.6, reason='fallback'), ProviderVote(provider='gemini', agent='general', confidence=0.6, reason='fallback'), ProviderVote(provider='ollama', agent='travel', confidence=0.85, reason='Tomorrow is likely a travel-related query due to the urgency and lack of specific context.')], 'metrics': {'provider_usage': {'groq': 1, 'openai': 1, 'gemini': 1, 'ollama': 1}, 'provider_wins': {}}, 'provider_results': [{'provider': 'groq', 'agent': 'general', 'confidence': 0.6, 'reason': 'fallback', 'latency': 0.0}, {'provider': 'openai', 'agent': 'general', 'confidence': 0.6, 'reason': 'fallback', 'latency': 0.0}, {'provider': 'gemini', 'agent': 'general', 'confidence': 0.6, 'reason': 'fallback', 'latency': 0.0}, {'provider': 'ollama', 'agent': 'travel', 'confidence': 0.85, 'reason': 'Tomorrow is likely a travel-related query due to the urgency and lack of specific context.', 'latency': 9.562}]}
2026-06-01 16:39:18.770103 | I need help tomorrow | reflection_agent | {'valid': True, 'suggested_agent': 'general', 'confidence': 0.0}
2026-06-01 16:44:01.556433 | I need help tomorrow | rule_router | {'agent': 'travel', 'score': 1, 'confidence': 0.7}
2026-06-01 16:44:01.556433 | I need help tomorrow | embedding_router | {'agent': 'travel', 'confidence': 0.229, 'scores': {'home': 0.146, 'office': 0.171, 'doctor': 0.216, 'travel': 0.229}}
2026-06-01 16:44:04.993672 | I need help tomorrow | voting_router | {'selected_agent': 'general', 'confidence': 0.6, 'validated': True, 'votes': [ProviderVote(provider='groq', agent='general', confidence=0.6, reason='fallback'), ProviderVote(provider='openai', agent='general', confidence=0.6, reason='fallback'), ProviderVote(provider='gemini', agent='general', confidence=0.6, reason='fallback'), ProviderVote(provider='ollama', agent='travel', confidence=0.8, reason='Tomorrow implies a need for travel planning, likely a flight or accommodation booking request.')], 'metrics': {'provider_usage': {'groq': 1, 'openai': 1, 'gemini': 1, 'ollama': 1}, 'provider_wins': {}}, 'provider_results': [{'provider': 'groq', 'agent': 'general', 'confidence': 0.6, 'reason': 'fallback', 'latency': 0.0}, {'provider': 'openai', 'agent': 'general', 'confidence': 0.6, 'reason': 'fallback', 'latency': 0.0}, {'provider': 'gemini', 'agent': 'general', 'confidence': 0.6, 'reason': 'fallback', 'latency': 0.0}, {'provider': 'ollama', 'agent': 'travel', 'confidence': 0.8, 'reason': 'Tomorrow implies a need for travel planning, likely a flight or accommodation booking request.', 'latency': 3.423}]}
2026-06-01 16:44:14.964569 | I need help tomorrow | reflection_agent | {'valid': True, 'suggested_agent': 'general', 'confidence': 1.0}
2026-06-01 16:51:30.003399 | I need help tomorrow | rule_router | {'agent': 'travel', 'score': 1, 'confidence': 0.0}
2026-06-01 16:51:30.022712 | I need help tomorrow | embedding_router | {'agent': 'travel', 'confidence': 0.229, 'scores': {'home': 0.146, 'office': 0.171, 'doctor': 0.216, 'travel': 0.229}}
